2,754523e-06 16000000 1 475
1,704061e-04 16000000 1 474
1,244103e-04 16000000 1 473
9,257929e-05 16000000 1 474
5,965242e-05 16000000 1 474
1,119962e-04 16000000 1 474
1,141448e-04 16000000 1 474
7,149126e-05 16000000 1 475
1,069407e-05 16000000 1 476
1,472672e-04 16000000 1 476
1,618492e-05 32000000 2 478
4,302072e-05 32000000 2 482
1,022082e-04 32000000 2 474
1,077172e-04 32000000 2 478
5,752541e-05 32000000 2 477
2,537611e-05 32000000 2 481
5,947506e-05 32000000 2 475
1,005552e-04 32000000 2 474
1,035610e-04 32000000 2 474
1,331024e-04 32000000 2 475
7,759220e-05 48000000 3 474
5,133163e-05 48000000 3 477
3,713199e-05 48000000 3 508
6,096777e-06 48000000 3 469
8,623962e-05 48000000 3 475
1,159595e-05 48000000 3 474
1,485030e-05 48000000 3 473
7,235828e-05 48000000 3 476
1,077365e-05 48000000 3 475
1,378927e-05 48000000 3 474
4,757653e-05 64000000 4 473
2,177587e-06 64000000 4 473
2,644872e-05 64000000 4 475
5,760266e-06 64000000 4 474
6,793080e-06 64000000 4 474
2,302858e-05 64000000 4 474
6,347213e-05 64000000 4 471
6,969907e-05 64000000 4 474
1,704037e-05 64000000 4 473
1,296203e-05 64000000 4 474
4,776126e-05 80000000 5 438
7,045904e-05 80000000 5 438
1,725125e-05 80000000 5 421
2,015016e-05 80000000 5 427
6,533425e-05 80000000 5 426
4,222266e-05 80000000 5 433
7,206422e-05 80000000 5 423
3,794368e-05 80000000 5 435
3,741618e-05 80000000 5 418
1,223276e-04 80000000 5 449
3,556697e-05 96000000 6 392
5,230476e-05 96000000 6 407
1,397001e-05 96000000 6 417
1,779467e-05 96000000 6 410
5,810065e-05 96000000 6 409
1,604396e-05 96000000 6 406
9,417578e-05 96000000 6 413
1,102564e-05 96000000 6 414
4,069478e-05 96000000 6 428
8,160853e-06 96000000 6 396
2,085725e-05 112000000 7 379
1,315677e-04 112000000 7 374
1,945896e-05 112000000 7 381
1,150121e-05 112000000 7 396
1,596438e-05 112000000 7 375
2,827268e-06 112000000 7 395
1,980684e-05 112000000 7 393
9,265887e-05 112000000 7 386
1,643048e-05 112000000 7 389
4,066067e-05 112000000 7 384
1,045301e-06 128000000 8 382
7,033738e-05 128000000 8 403
2,813974e-05 128000000 8 388
1,686958e-05 128000000 8 392
4,666139e-05 128000000 8 415
3,729284e-05 128000000 8 410
8,605161e-06 128000000 8 413
3,394064e-05 128000000 8 399
1,445241e-05 128000000 8 399
9,062731e-06 128000000 8 394
1,274540e-05 144000000 9 463
1,972221e-05 144000000 9 438
3,877659e-05 144000000 9 425
8,881472e-06 144000000 9 426
5,392284e-05 144000000 9 455
5,164162e-05 144000000 9 430
1,515092e-05 144000000 9 423
2,621377e-06 144000000 9 504
8,545478e-06 144000000 9 431
3,206504e-05 144000000 9 441
6,662340e-05 160000000 10 461
1,258801e-05 160000000 10 470
3,659421e-06 160000000 10 472
2,855689e-06 160000000 10 477
5,515629e-05 160000000 10 485
3,503115e-05 160000000 10 462
2,847731e-06 160000000 10 468
5,722763e-06 160000000 10 474
5,871907e-05 160000000 10 469
3,094421e-06 160000000 10 464
1,636227e-05 176000000 11 508
2,190726e-05 176000000 11 507
7,272109e-05 176000000 11 515
3,933472e-05 176000000 11 514
3,452764e-05 176000000 11 568
4,048871e-05 176000000 11 538
1,537840e-05 176000000 11 521
5,990188e-05 176000000 11 511
2,651552e-05 176000000 11 659
1,807307e-05 176000000 11 561
4,036088e-06 192000000 12 558
1,887065e-05 192000000 12 583
4,781033e-05 192000000 12 587
2,357729e-05 192000000 12 566
2,511749e-05 192000000 12 574
2,379120e-05 192000000 12 581
8,101170e-06 192000000 12 604
5,317348e-05 192000000 12 591
4,096003e-05 192000000 12 669
2,643051e-05 192000000 12 617
2,124188e-06 208000000 13 652
1,641736e-05 208000000 13 633
2,670751e-05 208000000 13 654
1,084082e-05 208000000 13 622
4,921642e-06 208000000 13 640
1,805176e-05 208000000 13 622
3,465301e-05 208000000 13 616
2,406921e-05 208000000 13 683
5,325651e-06 208000000 13 675
4,359017e-05 208000000 13 647
5,756066e-05 224000000 14 681
3,777429e-05 224000000 14 672
4,526480e-05 224000000 14 662
3,777662e-06 224000000 14 641
2,231921e-05 224000000 14 704
2,462128e-05 224000000 14 677
1,276992e-05 224000000 14 684
2,767249e-05 224000000 14 668
2,672439e-05 224000000 14 666
2,027747e-05 224000000 14 686
